VERTEX = 561
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
0.0 123.906 0.0
